"","Catalog.Number","Fish.ID","Family.Species","lat","long","Year.Collected"
"1","FMNH 52280","FMNH 52280_01","Clupea palasii ",48.600556,-122.961944,1900
"2","FMNH 52280","FMNH 52280_02","Clupea palasii ",48.600556,-122.961944,1900
"3","FMNH 52280","FMNH 52280_03","Clupea palasii ",48.600556,-122.961944,1900
"4","FMNH 52280","FMNH 52280_04","Clupea palasii ",48.600556,-122.961944,1900
"5","FMNH 52280","FMNH 52280_05","Clupea palasii ",48.600556,-122.961944,1900
"6","FMNH 52280","FMNH 52280_06","Clupea palasii ",48.600556,-122.961944,1900
"7","FMNH 52280","FMNH 52280_07","Clupea palasii ",48.600556,-122.961944,1900
"8","FMNH 52280","FMNH 52280_08","Clupea palasii ",48.600556,-122.961944,1900
"9","FMNH 52280","FMNH 52280_09","Clupea palasii ",48.600556,-122.961944,1900
"10","FMNH 52280","FMNH 52280_10","Clupea palasii ",48.600556,-122.961944,1900
"11","UW 000817","UW 000817_01","Clupea palasii pallasii",47.58291,-122.4509,1929
"12","UW 000817","UW 000817_02","Clupea palasii pallasii",47.58291,-122.4509,1929
"13","UW 000817","UW 000817_03","Clupea palasii pallasii",47.58291,-122.4509,1929
"14","UW 000817","UW 000817_04","Clupea palasii pallasii",47.58291,-122.4509,1929
"15","UW 000817","UW 000817_05","Clupea palasii pallasii",47.58291,-122.4509,1929
"16","UW 000742","UW 000742_01","Clupea palasii pallasii",48.6330603,-122.87028,1929
"17","UW 000742","UW 000742_02","Clupea palasii pallasii",48.09012,-122.7601,1929
"18","UW 000742","UW 000742_03","Clupea palasii pallasii",48.6330603,-122.87028,1929
"19","UW 000583","UW 000583_01","Clupea palasii pallasii",48.54748,-122.9941,1929
"20","UW 000568","UW 000568_01","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"21","UW 000568","UW 000568_02","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"22","UW 000568","UW 000568_03","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"23","UW 000568","UW 000568_04","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"24","UW 000568","UW 000568_05","Clupea palasii pallasii",48.56046599,-122.9459595,1929
"25","UW 000656","UW 000656_01","Clupea palasii pallasii",47.58291,-122.4509,1930
"26","UW 001170","UW 001170_01","Clupea palasii pallasii",48.54748,-122.9941,1930
"27","UW 001170","UW 001170_02","Clupea palasii pallasii",48.54748,-122.9941,1930
"28","UW 002294","UW 002294_01","Clupea palasii pallasii",48.09012,-122.7601,1932
"29","UW 002947","UW 002947_01","Clupea palasii pallasii",48.61004072,-123.1543022,1933
"30","UW 002947","UW 002947_02","Clupea palasii pallasii",48.61004072,-123.1543022,1933
"31","UW 005105","UW 005105_01","Clupea palasii pallasii",48.25888483,-122.485225,1935
"32","UW 005105","UW 005105_02","Clupea palasii pallasii",48.25888483,-122.485225,1935
"33","UW 004669","UW 004669_01","Clupea palasii pallasii",47.28910758,-122.453718,1938
"34","UW 004669","UW 004669_02","Clupea palasii pallasii",47.28910758,-122.453718,1938
"35","UW 005633","UW 005633_01","Clupea palasii pallasii",NA,NA,1938
"36","UW 014963","UW 014963_01","Clupea palasii pallasii",47.607778,-122.426389,1939
"37","UW 014963","UW 014963_02","Clupea palasii pallasii",47.607778,-122.426389,1939
"38","UW 014963","UW 014963_03","Clupea palasii pallasii",47.607778,-122.426389,1939
"39","UW 005470","UW 005470_01","Clupea palasii pallasii",47.79898,-122.436,1946
"40","UW 005470","UW 005470_02","Clupea palasii pallasii",47.79898,-122.436,1946
"41","UW 005470","UW 005470_03","Clupea palasii pallasii",47.79898,-122.436,1946
"42","UW 005470","UW 005470_04","Clupea palasii pallasii",47.79898,-122.436,1946
"43","ANSP 82736","ANSP82736_01","Clupea palasii pallasii",48.50752289,-122.6750256,1949
"44","INHS 103170","INHW 103170_01","Clupea palasii pallasii",48.53797,-122.95349,1950
"45","INHS 103170","INHW 103170_02","Clupea palasii pallasii",48.53797,-122.95349,1950
"46","OSUM 18493","OSUM 18493_02","Clupea palasii pallasii",48.54748,-122.9941,1961
"47","OSUM 18493","OSUM 18493_03","Clupea palasii pallasii",48.54748,-122.9941,1961
"48","OSUM 18493","OSUM 18493_04","Clupea palasii pallasii",48.54748,-122.9941,1961
"49","OSUM 18493","OSUM 18493_01","Clupea palasii pallasii",48.54748,-122.9941,1961
"50","OSUM 18493","OSUM 18493_06","Clupea palasii pallasii",48.54748,-122.9941,1961
"51","OSUM 18493","OSUM 18493_07","Clupea palasii pallasii",48.54748,-122.9941,1961
"52","OSUM 18493","OSUM 18493_08","Clupea palasii pallasii",48.54748,-122.9941,1961
"53","OSUM 18493","OSUM 18493_05","Clupea palasii pallasii",48.54748,-122.9941,1961
"54","SIO 15-495","SIO 15-495_03","Clupea palasii pallasii",48.51498,-123.017,1963
"55","UW 017061","UW 017061_01","Clupea palasii pallasii",48.54748,-122.9941,1963
"56","UW 017127","UW 017127_01","Clupea palasii pallasii",48.6330603,-122.87028,1963
"57","SIO 15-495","SIO 15-495_01","Clupea palasii pallasii",48.51498,-123.017,1963
"58","SIO 15-495","SIO 15-495_02","Clupea palasii pallasii",48.51498,-123.017,1963
"59","UW 017127","UW 017127_02","Clupea palasii pallasii",48.6330603,-122.87028,1963
"60","UW 026567","UW 026567_01","Clupea palasii pallasii",48.09012,-122.7601,1978
"61","UW026567","UW 026567_02","Clupea palasii pallasii",48.09012,-122.7601,1978
"62","UW 022357","UW 022357_01","Clupea palasii pallasii",47.838636,-122.81465,1979
"63","UW 041309","UW 041309_07","Clupea palasii pallasii",48.09012,-122.7601,1979
"64","UW 041309","UW 041309_03","Clupea palasii pallasii",48.09012,-122.7601,1979
"65","UW 041309","UW 041309_04","Clupea palasii pallasii",48.09012,-122.7601,1979
"66","UW 041309","UW 041309_01","Clupea palasii pallasii",48.09012,-122.7601,1979
"67","UW 041309","UW 041309_02","Clupea palasii pallasii",48.09012,-122.7601,1979
"68","UW 041309","UW 041309_05","Clupea palasii pallasii",48.09012,-122.7601,1979
"69","UW 041309","UW 041309_06","Clupea palasii pallasii",48.09012,-122.7601,1979
"70","UW 026570","UW 026570_01","Clupea palasii pallasii",47.1413,-122.7658,1980
"71","UW 026570","UW 026570_02","Clupea palasii pallasii",47.1413,-122.7658,1980
"72","UW 026570","UW 026570_03","Clupea palasii pallasii",47.1413,-122.7658,1980
"73","UW 026561","UW 026561_01","Clupea palasii pallasii",NA,NA,1981
"74","UW 045035","UW 045035_01","Clupea palasii pallasii",47.8,-122.8,1985
"75","UW 045046","UW 045046_01","Clupea palasii pallasii",47.8,-122.8,1985
"76","UW 045056","UW 045056_01","Clupea palasii pallasii",47.75,-122.8333,1985
"77","UW 045252","UW 045252_01","Clupea palasii pallasii",47.75,-122.8333,1986
"78","UW 045083","UW 045083_01","Clupea palasii pallasii",47.75,-122.8333,1986
"79","UW 045245","UW 045245_01","Clupea palasii pallasii",47.838636,-122.81465,1987
"80","UW 045486","UW 045486_01","Clupea palasii pallasii",47.75,-122.8333,1987
"81","UW 045184","UW 045184_01","Clupea palasii pallasii",47.75,-122.8333,1987
"82","UW 111228","UW 111228_02","Clupea palasii pallasii",47.7333,-122.5167,1989
"83","UW 111228","UW 111228_01","Clupea palasii pallasii",47.7333,-122.5167,1989
"84","UW 110761","UW 110761_01","Clupea palasii pallasii",47.62188148,-122.9514006,1991
"85","UW 110761","UW 110761_03","Clupea palasii pallasii",47.62188148,-122.9514006,1991
"86","UW 110761","UW 110761_04","Clupea palasii pallasii",47.62188148,-122.9514006,1991
"87","UW 110761","UW 110761_05","Clupea palasii pallasii",47.62188148,-122.9514006,1991
"88","UW 110761","UW 110761_02","Clupea palasii pallasii",47.62188148,-122.9514006,1991
"89","UW 110761","UW 110761_06","Clupea palasii pallasii",47.62188148,-122.9514006,1991
"90","UW110357","UW 110357_05","Clupea palasii pallasii",47.61302061,-122.9510071,1992
"91","UW110357","UW 110357_06","Clupea palasii pallasii",47.61302061,-122.9510071,1992
"92","UW 110357","UW 110357_07","Clupea palasii pallasii",47.61302061,-122.9510071,1992
"93","UW 110361","UW 110361_01","Clupea palasii pallasii",48.04189,-122.5249,1992
"94","UW 110357","UW 110357_01","Clupea palasii pallasii",47.61302061,-122.9510071,1992
"95","UW 110357","UW 110357_02","Clupea palasii pallasii",47.61302061,-122.9510071,1992
"96","UW 110357","UW 110357_03","Clupea palasii pallasii",47.61302061,-122.9510071,1992
"97","UW 110357","UW 110357_04","Clupea palasii pallasii",47.61302061,-122.9510071,1992
"98","UW 157328","UW 157328_04","Clupea palasii pallasii",48.4147,-122.6001,2015
"99","UW 157328","UW 157328_06","Clupea palasii pallasii",48.4147,-122.6001,2015
"100","UW 157328","UW 157328_01","Clupea palasii pallasii",48.4147,-122.6001,2015
"101","UW 157328","UW 157328_03","Clupea palasii pallasii",48.4147,-122.6001,2015
"102","UW 157329","UW 157329_02","Clupea palasii pallasii",48.4147,-122.6001,2015
"103","UW 157329","UW 157329_04","Clupea palasii pallasii",48.4147,-122.6001,2015
"104","UW 157328","UW 157328_07","Clupea palasii pallasii",48.4147,-122.6001,2015
"105","UW 157329","UW 157329_01","Clupea palasii pallasii",48.4147,-122.6001,2015
"106","UW 157329","UW 157329_06","Clupea palasii pallasii",48.4147,-122.6001,2015
"107","UW 157329","UW 157329_07","Clupea palasii pallasii",48.4147,-122.6001,2015
"108","UW 1133","UW 1133_01","Parophrys vetulus",48.54748,-122.9941,1930
"109","UW 1177","UW 1177_01","Parophrys vetulus",48.54748,-122.9941,1930
"110","UW 1177","UW 1177_02","Parophrys vetulus",48.54748,-122.9941,1930
"111","UW 789","UW 789_01","Parophrys vetulus",47.58291,-122.4509,1930
"112","UW 789","UW 789_02","Parophrys vetulus",47.58291,-122.4509,1930
"113","UW 2269","UW 2269_01","Parophrys vetulus",48.54748,-122.9941,1932
"114","UW 2269","UW 2269_02","Parophrys vetulus",48.54748,-122.9941,1932
"115","UW 5053","UW 5053_01","Parophrys vetulus",47.70623,-122.3934,1938
"116","UW 16589","UW 16589","Parophrys vetulus",47.58291,-122.4509,1939
"117","UW 4491","UW 4491_01","Parophrys vetulus",47.70962,-122.4065,1939
"118","UW 4495","UW 4495_01","Parophrys vetulus",47.70962,-122.4065,1939
"119","UW 4579","UW 4579_01","Parophrys vetulus",47.67337,-122.4112,1939
"120","UW 4614","UW 4614_01","Parophrys vetulus",47.67337,-122.4112,1939
"121","UW 4794","UW 4794_01","Parophrys vetulus",47.3531,-122.3422,1939
"122","UW 4827","UW 4827","Parophrys vetulus",47.58291,-122.4509,1941
"123","UW 4885","UW 4885_01","Parophrys vetulus",47.58291,-122.4509,1941
"124","UW 4885","UW 4885_02","Parophrys vetulus",47.58291,-122.4509,1941
"125","UW 4925","UW 4925_01","Parophrys vetulus",47.79898,-122.436,1941
"126","UW 4925","UW 4925_02","Parophrys vetulus",47.79898,-122.436,1941
